hour,7170414,7562595,1835625587
7,36,10,181
7,36,10,263
7,36,10,319
7,36,10,391
7,36,10,467
7,36,10,525
7,36,10,614
7,36,10,697
7,36,10,755
7,36,10,829
7,36,10,903
7,36,10,965
7,36,11,41
7,36,11,152
7,36,11,229
7,36,11,371
7,36,11,463
7,36,11,520
7,36,11,591
7,36,11,647
7,36,11,723
7,36,11,811
7,36,11,882
7,36,11,946
7,36,12,15
7,36,12,90
7,36,12,164
7,36,12,232
7,36,12,304
7,36,12,382
7,36,12,443
7,36,12,530
7,36,12,603
7,36,12,682
7,36,12,756
7,36,12,840
7,36,12,923
7,36,12,996
7,36,13,61
7,36,13,135
7,36,13,242
7,36,13,318
7,36,13,386
7,36,13,465
7,36,13,534
7,36,13,607
7,36,13,677
7,36,13,744
7,36,13,834
7,36,13,900
7,36,13,974
7,36,14,41
7,36,14,121
7,36,14,200
7,36,14,292
7,36,14,407
7,36,14,480
7,36,14,574
7,36,14,680
7,36,14,749
7,36,14,835
7,36,14,901
7,36,15,2
7,36,15,109
7,36,15,209
7,36,15,321
7,36,15,416
7,36,15,502
7,36,15,588
7,36,15,680
7,36,15,778
7,36,15,894
7,36,15,977
7,36,16,101
7,36,16,202
7,36,16,331
7,36,16,446
7,36,16,569
7,36,16,687
7,36,16,809
